symbol,size,price,timestamp
GE,59,8.96,2019-10-21 10:04:00.458292508
CLDR,100,8.925,2019-10-21 12:07:58.146586919
AMC,100,9.205,2019-10-21 15:39:52.445443423
INFY,100,9.18,2019-10-21 14:32:01.909901604
APRE,100,24.26,2019-10-21 11:56:55.677746682
MET,40,46.655,2019-10-21 15:12:14.725588142
FTSV,10,6.12,2019-10-21 10:10:02.348652042
RETA,100,178.95,2019-10-21 11:46:24.935623376
NMRK,100,9.945,2019-10-21 15:57:00.041052863
PUMP,300,8.225,2019-10-21 14:53:45.313293817
EXEL,100,16.765,2019-10-21 13:05:30.182110722
YNDX,300,32.485,2019-10-21 10:14:07.532846329
FDX,1100,152.175,2019-10-21 10:31:13.580841453
ALNY,1,85.9,2019-10-21 11:04:42.033929819
INFY,100,9.085,2019-10-21 09:32:30.105921600
KMT,100,31.065,2019-10-21 09:35:06.153322478
RF,3,16.065,2019-10-21 10:17:11.754755531
ECA,300,4.05,2019-10-21 15:58:41.255362157
GRMN,100,86.89,2019-10-21 10:15:13.270726354
ALDR,100,18.935,2019-10-21 15:56:55.864848075
DHI,3,54.015,2019-10-21 09:44:29.778155556
BAC,2300,31.04,2019-10-21 15:55:07.014033269
FCX,100,9.825,2019-10-21 12:35:30.318817018
INFY,100,9.075,2019-10-21 10:53:57.740738370
VZ,100,60.77,2019-10-21 11:22:18.266753301
XOM,100,68.58,2019-10-21 11:48:10.693799136
HUM,100,289.065,2019-10-21 10:52:21.396057712
VIAB,200,21.86,2019-10-21 15:57:47.750142275
DHI,100,53.39,2019-10-21 14:04:42.263347562
MCO,1,218.345,2019-10-21 13:32:37.655837528
IYR,29,95.335,2019-10-21 15:59:19.966548358
GDI,10,31.265,2019-10-21 15:50:53.240947142
NGG,100,57.94,2019-10-21 15:45:51.692225265
XOP,100,20.725,2019-10-21 12:29:49.982799370
PWR,300,40.81,2019-10-21 13:28:34.805571324
QEP,9,2.72,2019-10-21 10:11:04.315406861
BP,2,38.315,2019-10-21 15:19:51.931230973
POST,97,102.1,2019-10-21 15:06:06.457723083
BIMI,1,7.925,2019-10-21 12:40:30.450628828
COMM,100,12.535,2019-10-21 11:12:47.914836814
CHNG,10,12.87,2019-10-21 11:26:03.574058071
ROST,100,111.12,2019-10-21 10:50:26.791944254
PUK,50,40.97,2019-10-21 10:33:07.970213628
ET,100,12.705,2019-10-21 10:49:55.359348656
KDP,100,27.42,2019-10-21 10:05:10.542375824
APY,100,25.55,2019-10-21 13:28:59.904428408
JE,100,2.435,2019-10-21 10:45:44.038344770
TLT,100,138.52,2019-10-21 09:49:31.803497545
CELG,5,103.215,2019-10-21 12:58:19.220956944
SJI,100,32.32,2019-10-21 13:17:44.053947784
M,100,15.325,2019-10-21 15:24:38.523568760
K,100,62.545,2019-10-21 11:52:29.602497068
LVGO,100,19.995,2019-10-21 15:55:53.821803589
JD,100,30.66,2019-10-21 10:28:23.537564825
NXPI,1,109.5,2019-10-21 10:48:03.142523236
KHC,10,27.6,2019-10-21 09:30:09.107565186
YETI,1,31.905,2019-10-21 14:16:20.318606882
SANM,100,32.195,2019-10-21 15:34:03.081796532
WH,1,51.16,2019-10-21 12:57:18.067025755
NFLX,100,275.98,2019-10-21 14:10:58.150440489
KEY,100,18.1,2019-10-21 09:38:17.255520712
NLSN,200,20.985,2019-10-21 11:21:41.056670010
COHR,4,157.86,2019-10-21 13:37:53.481185965
CRNC,100,15.82,2019-10-21 15:47:45.819761046
AMAT,2,52.545,2019-10-21 15:40:41.629569882
TXN,100,130.1,2019-10-21 10:13:04.933928123
HFC,1,55.26,2019-10-21 09:50:00.807936756
ZION,1,45.28,2019-10-21 11:12:25.686181675
CTRE,70,24.115,2019-10-21 11:29:52.786576288
AXP,3,118.58,2019-10-21 10:59:39.844346576
CBB,500,4.675,2019-10-21 11:36:55.134710500
VZ,3,60.76,2019-10-21 13:24:08.738591049
HNGR,100,19.95,2019-10-21 13:26:55.561302796
