pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
Kepler-1098 b,Kepler-1098,2016,1.3,,,295.502673,43.2326992,FALSE
Kepler-1099 b,Kepler-1099,2016,2.83,,,288.7499866,48.2771163,FALSE
Kepler-11 b,Kepler-11,2010,1.8,,1.9,297.1150949,41.9091092,FALSE
Kepler-11 c,Kepler-11,2010,2.87,,2.9,297.1150949,41.9091092,FALSE
Kepler-11 d,Kepler-11,2010,3.12,,7.3,297.1150949,41.9091092,FALSE
Kepler-11 e,Kepler-11,2010,4.19,,8,297.1150949,41.9091092,FALSE
Kepler-11 f,Kepler-11,2010,2.49,,2,297.1150949,41.9091092,FALSE
Kepler-11 g,Kepler-11,2010,3.33,,25,297.1150949,41.9091092,FALSE
Kepler-110 b,Kepler-110,2014,1.83,,,292.9291693,48.6028303,FALSE
Kepler-110 c,Kepler-110,2014,2.21,,,292.9291693,48.6028303,FALSE
Kepler-1100 b,Kepler-1100,2016,1.75,,,291.8713535,44.0873907,FALSE
Kepler-1101 b,Kepler-1101,2016,2.47,,,294.5693544,45.6711623,FALSE
Kepler-1102 b,Kepler-1102,2016,2.66,,,281.3225917,48.0664955,FALSE
Kepler-1103 b,Kepler-1103,2016,2.27,,,287.3821348,49.4524247,FALSE
Kepler-1104 b,Kepler-1104,2016,1.23,,,294.4685197,49.3309789,FALSE
Kepler-1105 b,Kepler-1105,2016,2.01,,,281.1117588,42.4549698,FALSE
Kepler-1106 b,Kepler-1106,2016,1.65,,,291.1451576,44.0624715,FALSE
Kepler-1107 b,Kepler-1107,2016,1.34,,,291.049934,39.141674,FALSE
Kepler-1108 b,Kepler-1108,2016,1.46,,,296.0422962,45.98514,FALSE
Kepler-1109 b,Kepler-1109,2016,2.19,,,291.6462654,39.3966122,FALSE
Kepler-111 b,Kepler-111,2014,1.58,,,291.653163,44.6882613,FALSE
Kepler-111 c,Kepler-111,2014,7.3,,,291.653163,44.6882613,FALSE
Kepler-1110 b,Kepler-1110,2016,2.66,,,291.8080645,38.6226615,FALSE
Kepler-1111 b,Kepler-1111,2016,2,,,295.4634045,45.8127697,FALSE
Kepler-1112 b,Kepler-1112,2016,3.02,,,296.9687937,47.7514799,FALSE
Kepler-1113 b,Kepler-1113,2016,2.81,,,289.4066969,39.338813,FALSE
Kepler-1114 b,Kepler-1114,2016,1.35,,,299.2370531,45.8347781,FALSE
Kepler-1115 b,Kepler-1115,2016,1.7,,,294.9917723,40.1443964,FALSE
Kepler-1116 b,Kepler-1116,2016,2.54,,,291.9336573,44.1154992,FALSE
Kepler-1117 b,Kepler-1117,2016,1.11,,,292.0847866,49.2374206,FALSE
Kepler-1118 b,Kepler-1118,2016,2.74,,,299.9656619,44.1608805,FALSE
Kepler-1119 b,Kepler-1119,2016,1.92,,,297.0191018,44.3274936,FALSE
Kepler-112 b,Kepler-112,2014,2.36,,,296.9811361,43.2097025,FALSE
Kepler-112 c,Kepler-112,2014,2.4,,,296.9811361,43.2097025,FALSE
Kepler-1120 b,Kepler-1120,2016,1.38,,,290.9144516,42.2865522,FALSE
Kepler-1121 b,Kepler-1121,2016,1.91,,,297.7865467,47.8861542,FALSE
Kepler-1122 b,Kepler-1122,2016,2.04,,,288.2805801,46.3408747,FALSE
Kepler-1123 b,Kepler-1123,2016,1.67,,,294.5177291,50.6703927,FALSE
Kepler-1124 b,Kepler-1124,2016,1.28,,,286.5942529,37.8912836,FALSE
